Date : 2022-03-08 15:03:35
Directory : e:\Unity Projects\#TURRENTBASE\PROJETO  - Base Invaders\Assets\Scripts
Total : 233 files,  12023 codes, 242 comments, 2784 blanks, all 15049 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        233 |     12,023 |        242 |      2,784 |     15,049 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |        233 |     12,023 |        242 |      2,784 |     15,049 |
| Artifacts                                                                                                                           |         11 |        246 |          4 |         59 |        309 |
| Background                                                                                                                          |          3 |        209 |          0 |         38 |        247 |
| Bosses                                                                                                                              |         17 |        799 |          3 |        157 |        959 |
| Bosses\Forge                                                                                                                        |          4 |        221 |          1 |         38 |        260 |
| Bosses\Forge\States                                                                                                                 |          2 |         37 |          1 |         10 |         48 |
| Bosses\Interceptor                                                                                                                  |          8 |        314 |          1 |         61 |        376 |
| Bosses\Interceptor\Effects                                                                                                          |          3 |         51 |          0 |         15 |         66 |
| Bosses\Interceptor\States                                                                                                           |          4 |        104 |          1 |         31 |        136 |
| Enemies                                                                                                                             |         10 |        453 |         25 |        125 |        603 |
| Enemies\EnemyActionEffect                                                                                                           |          1 |         18 |          0 |          5 |         23 |
| Enemies\New                                                                                                                         |          1 |         60 |          0 |         19 |         79 |
| Formation                                                                                                                           |         38 |      1,290 |         41 |        347 |      1,678 |
| Formation\AttackPattern                                                                                                             |          1 |         26 |          1 |          9 |         36 |
| Formation\MovementPattern                                                                                                           |          5 |        151 |          0 |         65 |        216 |
| Formation\NEW                                                                                                                       |         26 |        919 |         40 |        231 |      1,190 |
| Formation\NEW\StateMachine                                                                                                          |         13 |        505 |          7 |        139 |        651 |
| Formation\NEW\StateMachine\Controllers                                                                                              |          2 |         70 |          0 |         21 |         91 |
| Formation\NEW\StateMachine\States                                                                                                   |          5 |        254 |          6 |         70 |        330 |
| Formation\NEW\StateMachine\Transitions                                                                                              |          3 |         56 |          1 |         14 |         71 |
| Formation\NEW\V2                                                                                                                    |         13 |        414 |         33 |         92 |        539 |
| Formation\NEW\V2\Controller                                                                                                         |          4 |        124 |          6 |         19 |        149 |
| Formation\NEW\V2\Movements                                                                                                          |          7 |        160 |         27 |         50 |        237 |
| GUI                                                                                                                                 |         38 |      2,384 |         13 |        537 |      2,934 |
| GUI\Animations                                                                                                                      |         11 |        528 |          1 |        194 |        723 |
| GUI\Game Over                                                                                                                       |          1 |         21 |          0 |          4 |         25 |
| GUI\Reward Panel                                                                                                                    |         17 |      1,532 |         10 |        278 |      1,820 |
| GUI\Reward Panel\V2                                                                                                                 |          4 |        617 |          4 |         85 |        706 |
| GUI\TitleScreen                                                                                                                     |          5 |        181 |          2 |         38 |        221 |
| Interfaces                                                                                                                          |          2 |         16 |          0 |          4 |         20 |
| Managers                                                                                                                            |         12 |        822 |         35 |        191 |      1,048 |
| Managers\Global                                                                                                                     |          7 |        664 |         35 |        160 |        859 |
| Managers\Global\Audio                                                                                                               |          5 |        347 |          9 |         80 |        436 |
| Managers\Local                                                                                                                      |          5 |        158 |          0 |         31 |        189 |
| Others                                                                                                                              |         17 |        802 |         21 |        194 |      1,017 |
| Others\MovementSystem                                                                                                               |          2 |        147 |          3 |         39 |        189 |
| Others\Turret Stuff                                                                                                                 |          2 |        155 |          5 |         41 |        201 |
| Reward                                                                                                                              |         11 |        903 |         16 |        208 |      1,127 |
| Reward\GUI                                                                                                                          |          3 |        368 |         11 |         94 |        473 |
| Reward\Packs                                                                                                                        |          4 |        218 |          2 |         47 |        267 |
| Ship                                                                                                                                |          3 |        291 |          2 |         60 |        353 |
| Templates                                                                                                                           |          6 |        403 |          3 |         97 |        503 |
| Turret                                                                                                                              |         59 |      3,036 |         56 |        681 |      3,773 |
| Turret\ActionEffects                                                                                                                |         33 |      2,039 |         46 |        466 |      2,551 |
| Turret\ActionEffects\Controllers                                                                                                    |          4 |        243 |         12 |         65 |        320 |
| Turret\ActionEffects\Effects                                                                                                        |         23 |      1,632 |         32 |        352 |      2,016 |
| Turret\ActionEffects\Status effect                                                                                                  |          6 |        164 |          2 |         49 |        215 |
| Turret\BaseEffects                                                                                                                  |         20 |        605 |          0 |        128 |        733 |
| Tutorial                                                                                                                            |          2 |        136 |          0 |         32 |        168 |
| Wave                                                                                                                                |          3 |        210 |         23 |         48 |        281 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                            | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| e:\Unity Projects\#TURRENTBASE\PROJETO  - Base Invaders\Assets\Scripts\Artifacts\Algorithm.cs                                       | C#       |         25 |          0 |          6 |         31 |
| e:\Unity Projects\#TURRENTBASE\PROJETO  - Base Invaders\Assets\Scripts\Artifacts\Artifact.cs                                        | C#       |         76 |          0 |          9 |         85 |
| e:\Unity Projects\#TURRENTBASE\PROJETO  - Base Invaders\Assets\Scripts\Artifacts\Battery.cs                                         | C#       |         17 |          0 |          8 |         25 |
| e:\Unity Projects\#TURRENTBASE\PROJETO  - Base Invaders\Assets\Scripts\Artifacts\Chip.cs                                            | C#       |         18 |          0 |          4 |         22 |
| e:\Unity Projects\#TURRENTBASE\PROJETO  - Base Invaders\Assets\Scripts\Artifacts\Criptocoin.cs                                      | C#       |         15 |          0 |          4 |         19 |
| e:\Unity Projects\#TURRENTBASE\PROJETO  - Base Invaders\Assets\Scripts\Artifacts\Cross.cs                                           | C#       |         15 |          0 |          4 |         19 |
| e:\Unity Projects\#TURRENTBASE\PROJETO  - Base Invaders\Assets\Scripts\Artifacts\ForgeCore.cs                                       | C#       |         12 |          2 |          5 |         19 |
| e:\Unity Projects\#TURRENTBASE\PROJETO  - Base Invaders\Assets\Scripts\Artifacts\InterceptorCore.cs                                 | C#       |         12 |          2 |          5 |         19 |
| e:\Unity Projects\#TURRENTBASE\PROJETO  - Base Invaders\Assets\Scripts\Artifacts\Recycler.cs                                        | C#       |         15 |          0 |          3 |         18 |
| e:\Unity Projects\#TURRENTBASE\PROJETO  - Base Invaders\Assets\Scripts\Artifacts\Repairing.cs                                       | C#       |         26 |          0 |          7 |         33 |
| e:\Unity Projects\#TURRENTBASE\PROJETO  - Base Invaders\Assets\Scripts\Artifacts\Thruster.cs                                        | C#       |         15 |          0 |          4 |         19 |
